'meng'deng'hua 梦灯花
'guang'shi 光使
'guang'chu 光杵
'guang'shi'li'fa 光使历法
'gu'guang'shi 古光使
'gu'guang'shi'wen'ming 古光使文明
'xin'sheng'guang'shi 新生光使
'ren'gong'guang'shi 人工光使
'xian'dai'guang'shi'she'hui 现代光使社会
'si'xian'zhe'hui'yi 四贤者会议
'you'yuan'zhe 游园者
'you'yuan'zhe'ce'shi 游园者测试
'you'yuan'zhe'dang'an 游园者档案
'guang'wu'nv 光巫女
'xian'zhe 贤者
'guang'wu'ran 光污染
'guang'wu'ran'bu'dui 光污染部队
'guang'dao'hui 光道会
'an'shou 暗兽
'an'shou'wang 暗兽王
'an'shou'chao 暗兽潮
'ni'tai'an'shou 拟态暗兽
'chun'hua'an'shou 纯化暗兽
'kuang'hua'an'shou 狂化暗兽
'tu'xing'an'shou 兔型暗兽
'lu'xing'an'shou 鹿型暗兽
'bei'qin'shi'de'an'shou 被侵蚀的暗兽
'te'yi'ji'an'shou'huo'dong'jing'bao 特一级暗兽活动警报
'ji'ye'zhi'zai 极夜之灾
'wu'ye'zhan'zheng 无夜战争
'qian'yi'ji'hua 迁移计划
'tian'xing'ta'fang'yu'zhan 天星塔防御战
'di'er'ci'tian'xing'ta'fang'yu'zhan 第二次天星塔防御战
'yuan 园
'yuan'wai'zhi'wu 园外之物
'zhu'fu'zhi'hua 祝福之花
'guang'lu 光路
'guang'neng'han'yang 光能涵养
'ji'jiu'hui'lu 急救回路
'zhan'chang'ji'dong 战场机动
'zi'ran'yu'he 自然愈合
'yuan'su'cui'qu 元素萃取
'zuo'zhan'ji'qiao 作战技巧
'cui'guang 萃光
'cui'guang'ji 萃光技
'qiang'hua'qie'huan 强化切换
'zhan'dou'liu'pai 战斗流派
'yuan'su'ke'ceng 元素壳层
'sui'ke'zhui'ji 碎壳追击
'sui'ke'shi'heng 碎壳失衡
'ju'jiao'da'ji 聚焦打击
'zhong'ji'lian'xie 终极连携
'guang'xi 光螅
'jing'ying'sheng'wu 晶莹生物
'guang'zhi'hua 光之花
'deng'ta'pao 灯塔炮
'tian'xing'pao 天星炮
'qing'guang'pao 晴光炮
'yi'lan'pao 依兰炮
'gu'guang'shi'ke'ji 古光使科技
'gu'guang'shi'yi'ji 古光使遗迹
'shi'luo'de'gu'guang'shi'yi'ji 失落的古光使遗迹
'guang'lu'wang'luo 光路网络
'nao'guang'bo'yi 脑光波仪
'yi'ji'chuan 遗迹船
'gu'guang'shi'shi'ba'hao'yi'ji 古光使十八号遗迹
'shi'ba'hao'yi'ji 十八号遗迹
'yi'ji'shi'ba'hao 遗迹十八号
'wu'ye'yuan 无夜原
'ci'ye'yuan 此夜原
'deng'ta 灯塔
'di'xia'deng'ta 地下灯塔
'zhu'ta 主塔
'qing'guang'ta 晴光塔
'qiang'wei'ta 蔷薇塔
'yu'zan'ta 玉簪塔
'yu'zan'ta'fei'xu 玉簪塔废墟
'tian'xing'ta 天星塔
'tian'xing'sen'lin 天星森林
'yi'lan'ta 依兰塔
'long'yue'ta 胧月塔
'yu'jiu'ta 雨久塔
'zi'zhu'ta 紫珠塔
'jie'xiang'ta 结香塔
'gu'ying'ta 孤影塔
'yong'wu'dao 永无岛
